Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-11-12 00:27:00+00:00,103087.2578125,103087.2578125,103087.2578125,103087.2578125,0
2025-11-12 00:28:00+00:00,103010.328125,103010.328125,103010.328125,103010.328125,0
2025-11-12 00:29:00+00:00,103052.03125,103052.03125,103052.03125,103052.03125,16932864
2025-11-12 00:30:00+00:00,103020.640625,103020.640625,103020.640625,103020.640625,0
2025-11-12 00:31:00+00:00,103021.109375,103021.109375,103021.109375,103021.109375,0
2025-11-12 00:32:00+00:00,102981.296875,102981.296875,102981.296875,102981.296875,148013056
2025-11-12 00:33:00+00:00,102997.9296875,102997.9296875,102997.9296875,102997.9296875,0
2025-11-12 00:34:00+00:00,102983.515625,102983.515625,102983.515625,102983.515625,0
2025-11-12 00:35:00+00:00,102943.515625,102943.515625,102943.515625,102943.515625,0
2025-11-12 00:36:00+00:00,102894.484375,102894.484375,102894.484375,102894.484375,0
2025-11-12 00:37:00+00:00,102921.7265625,102921.7265625,102921.7265625,102921.7265625,1533288448
2025-11-12 00:38:00+00:00,102987.0625,102987.0625,102987.0625,102987.0625,674832384
2025-11-12 00:39:00+00:00,102997.5234375,102997.5234375,102997.5234375,102997.5234375,0
2025-11-12 00:40:00+00:00,102887.7109375,102887.7109375,102887.7109375,102887.7109375,1124712448
2025-11-12 00:41:00+00:00,102862.7109375,102862.7109375,102862.7109375,102862.7109375,0
2025-11-12 00:42:00+00:00,102870.46875,102870.46875,102870.46875,102870.46875,15663104
2025-11-12 00:43:00+00:00,102865.5859375,102865.5859375,102865.5859375,102865.5859375,139255808
2025-11-12 00:44:00+00:00,102901.78125,102901.78125,102901.78125,102901.78125,0
2025-11-12 00:45:00+00:00,102934.4609375,102934.4609375,102934.4609375,102934.4609375,96763904
2025-11-12 00:46:00+00:00,102946.3515625,102946.3515625,102946.3515625,102946.3515625,0
2025-11-12 00:47:00+00:00,102975.40625,102975.40625,102975.40625,102975.40625,622862336
2025-11-12 00:48:00+00:00,102968.0546875,102968.0546875,102968.0546875,102968.0546875,0
2025-11-12 00:49:00+00:00,103003.7109375,103003.7109375,103003.7109375,103003.7109375,55484416
2025-11-12 00:50:00+00:00,102992.0546875,102992.0546875,102992.0546875,102992.0546875,0
2025-11-12 00:51:00+00:00,102985.921875,102985.921875,102985.921875,102985.921875,0
2025-11-12 00:52:00+00:00,102947.234375,102947.234375,102947.234375,102947.234375,157106176
2025-11-12 00:53:00+00:00,102911.625,102911.625,102911.625,102911.625,669999104
2025-11-12 00:54:00+00:00,102818.3359375,102818.3359375,102818.3359375,102818.3359375,0
2025-11-12 00:55:00+00:00,102881.1484375,102881.1484375,102881.1484375,102881.1484375,143360000
2025-11-12 00:56:00+00:00,102929.3046875,102929.3046875,102929.3046875,102929.3046875,663027712
2025-11-12 00:57:00+00:00,103027.59375,103027.59375,103027.59375,103027.59375,0
2025-11-12 00:58:00+00:00,103013.4921875,103013.4921875,103013.4921875,103013.4921875,115302400
2025-11-12 00:59:00+00:00,102940.546875,102940.546875,102940.546875,102940.546875,724590592
2025-11-12 01:00:00+00:00,102848.8359375,102848.8359375,102848.8359375,102848.8359375,0
2025-11-12 01:01:00+00:00,102835.53125,102835.53125,102835.53125,102835.53125,0
2025-11-12 01:02:00+00:00,102847.6875,102847.6875,102847.6875,102847.6875,354959360
2025-11-12 01:03:00+00:00,102866.5625,102866.5625,102866.5625,102866.5625,0
2025-11-12 01:04:00+00:00,102838.3359375,102838.3359375,102838.3359375,102838.3359375,938868736
2025-11-12 01:05:00+00:00,102724.78125,102724.78125,102724.78125,102724.78125,0
2025-11-12 01:06:00+00:00,102874.0078125,102874.0078125,102874.0078125,102874.0078125,328941568
